name,url,price,img,brand,brand_url
 Henley T-Shirt,http://www.koovs.com/blue-saint-henley-81360.html,399,http://images.koovscdn.com/uploads/products/81360_134754ba722bceaea5a3b710012c836d_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Henley T-Shirt,http://www.koovs.com/blue-saint-henley-81360.html,399,http://images.koovscdn.com/uploads/products/81360_66dd6609ac1db49235a1933af389a949_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Trefoil Tongue T-Shirt,http://www.koovs.com/trefoil-tounge-t-shirt-89689.html,1999,http://images.koovscdn.com/uploads/products/89689_ecc48e6fc5e090f447c60beef60bced0_image1_zoom.jpg,Adidas Originals,http://www.koovs.com/men/brand/adidas-originals/
 Paisley Printed Panel T-Shirt,http://www.koovs.com/paisley-printed-panel-t-shirt-82246.html,455,http://images.koovscdn.com/uploads/products/82246_6d6720f7dbfe69b9924329a8a5ba0c26_image1_zoom.jpg,Zobello,http://www.koovs.com/men/brand/zobello/
 Rip & Repair Acid Wash Skinny Jeans,http://www.koovs.com/rip--repair-acid-wash-skinny-jeans-93202.html,1899,http://images.koovscdn.com/uploads/products/93202_e14a6d231edc3491bc12ed5e9e471c27_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
 Skinny Jeans With Rip & Repair Patches,http://www.koovs.com/skinny-jeans-with-rip--repair-patches-87242.html,2299,http://images.koovscdn.com/uploads/products/87242_4163f5d2d9c28d030cf9af7e811f4260_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
 Camo Shacket With Multiple Pockets,http://www.koovs.com/camo-shacket-88182.html,2299,http://images.koovscdn.com/uploads/products/88182_20c269251889a627205c06495387bc43_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
 Rip & Repair Slim Jeans,http://www.koovs.com/rip--repair-slim-jeans-85593.html,2199,http://images.koovscdn.com/uploads/products/85593_66235fac6094184a89bfb502f856f74a_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
 Washed Skinny Jeans With Heavy Distress,http://www.koovs.com/washed-skinny-jeans-with-heavy-distress-87243.html,2499,http://images.koovscdn.com/uploads/products/87243_fdc9790be6943b11a7d2e6167c71049a_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
 Crop Slim Jeans With Distress,http://www.koovs.com/ripped-slim-jeans-88194.html,2099,http://images.koovscdn.com/uploads/products/88194_24265f749296df16234406b022010f1c_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
 Mid Wash Distressed Jeans In Slim Fit,http://www.koovs.com/adamo-london-jeans-83825.html,1999,http://images.koovscdn.com/uploads/products/83825_929d920d6f254f2d0fddc4f88859b462_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
 Striper Vest,http://www.koovs.com/striper-vest-93393.html,599,http://images.koovscdn.com/uploads/products/93393_9663fb9fba43ec4bd333ce1d6de972e8_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Camo Effect Cargo Joggers,http://www.koovs.com/blue-saint-camo-effect-cargo-joggers-92689.html,1699,http://images.koovscdn.com/uploads/products/92689_0b9ec678b10a9cbaf824dca487a5fd94_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
ADIDAS NEO Colorblock Socks (Pack Of 3),http://www.koovs.com/adidas-neo-pack-of-3-q1-colorblock-ped-socks-89333.html,799,http://images.koovscdn.com/uploads/products/89333_850a8a15a510c3b3c9a8fd26d7ab3e8b_image1_zoom.jpg,,
 Exclusive Henley In Long Sleeves,http://www.koovs.com/blue-saint-exclusive-henley-in-long-sleeves-93114.html,599,http://images.koovscdn.com/uploads/products/93114_3e5309b2708130720813a682052cede4_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Exclusive T-Shirt In Oil Wash,http://www.koovs.com/blue-saint-exclusive-t-shirt-in-oil-wash_138-78008.html,400,http://images.koovscdn.com/uploads/products/78008_d71f1f42aa66cc4703b41647527de845_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Cropped Chinos In Slim Fit,http://www.koovs.com/blue-saint-ankle-length-chinos_193-82491.html,520,http://images.koovscdn.com/uploads/products/82491_39ef914d47c63e6f07cf4d0acb287d47_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Extreme Ripped Jeans In Slim Fit,http://www.koovs.com/adamo-london-washed-crop-jeans-83824.html,2299,http://images.koovscdn.com/uploads/products/83824_74cb7be647900b6b104ae984a67607a5_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
 Exclusive Crew Neck T-Shirt,http://www.koovs.com/blue-saint-exclusive-crew-neck-t-shirt-81058.html,399,http://images.koovscdn.com/uploads/products/81058_d63d1db9bb6eb9bb152bba48003cca80_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Polo With Paisley Printed Sleeves,http://www.koovs.com/polo-with-contrast-sleeves-and-collar-88673.html,699,http://images.koovscdn.com/uploads/products/88673_06a16da14f7253c7ca9e973ee09c03fd_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Dark Wash Cropped Jeans With Patch,http://www.koovs.com/dark-wash-cropped-jeans-with-patch-93193.html,2499,http://images.koovscdn.com/uploads/products/93193_06ce8587caec31482e40018981eef098_image1_zoom.jpg,Adamo London,http://www.koovs.com/men/brand/adamo-london/
 Exclusive Crew Neck T-Shirt,http://www.koovs.com/blue-saint-exclusive-crew-neck-t-shirt-81058.html,399,http://images.koovscdn.com/uploads/products/81058_d367d5d0d4216032c04e02547cd8266d_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Exclusive Crew Neck T-Shirt,http://www.koovs.com/blue-saint-exclusive-crew-neck-t-shirt-81058.html,399,http://images.koovscdn.com/uploads/products/81058_6d13a06179d8294ff63c1566b69a48c3_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Back Print T-Shirt,http://www.koovs.com/back-print-t-shirt_406-88356.html,599,http://images.koovscdn.com/uploads/products/88356_4d528e8efd3d642f0f4e217a28e50d03_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Dark Wash Slim Jeans With Rips,http://www.koovs.com/dark-wash-slim-jeans-with-rips-93434.html,1699,http://images.koovscdn.com/uploads/products/93434_17d7be58c0c5eac44f19935c34fbc89c_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
